,order_number,order_date,customer_name,channel,product_name,order_quantity,unit_price,revenue,total unit cost,state,state_name,region,lat,longitude,budget,2017 budget
50,SO - 0003756,2014-01-02,Bath Group,Export,Product 30,10,221.1,2211.0,128.238,IL,Illinois,Midwest,41.60815,-87.85929,1011609.684,
51,SO - 0004390,2014-01-02,Trunyx Ltd,Export,Product 16,6,5929.5,35577.0,4209.945,CT,Connecticut,Northeast,41.5585,-73.03668,2062061.144,
52,SO - 0006241,2014-01-02,Roomm Company,Wholesale,Product 3,10,1065.3,10653.0,628.5269999999999,TX,Texas,South,30.62798,-96.33441,2642352.432,
53,SO - 0008226,2014-01-02,Tambee Company,Wholesale,Product 20,11,938.0,10318.0,684.74,NY,New York,Northeast,40.88409,-73.37676,2067108.1199999999,
54,SO - 0010346,2014-01-02,Voolia Ltd,Export,Product 4,5,5708.400000000001,28542.000000000004,2283.36,CT,Connecticut,Northeast,41.5585,-73.03668,2885560.824,
55,SO - 0004104,2014-01-02,Podcat Corp,Wholesale,Product 23,7,3839.1,26873.7,2457.024,ND,North Dakota,Midwest,47.92526,-97.03285,1135815.7580000001,
56,SO - 0005545,2014-01-02,Dynazzy Company,Wholesale,Product 2,8,1098.8,8790.4,483.472,CT,Connecticut,Northeast,41.77524,-72.52443,3050087.565,
57,SO - 0005765,2014-01-02,Talane Group,Distributor,Product 13,7,5688.3,39818.1,2502.8520000000003,CA,California,West,37.54827,-121.98857,3720639.645,
58,SO - 0006767,2014-01-02,Oozz Group,Distributor,Product 16,10,1983.2,19832.0,1269.248,AZ,Arizona,West,33.44838,-112.07404,2062061.144,
59,SO - 0006883,2014-01-02,SHISEIDO Ltd,Distributor,Product 7,12,1246.2,14954.400000000001,834.9540000000001,FL,Florida,South,28.03446,-80.58866,889737.555,
60,SO - 0007017,2014-01-02,Zoomzone Corp,Distributor,Product 5,9,3825.7000000000003,34431.3,2486.7050000000004,OH,Ohio,Midwest,41.45282,-82.18237,3925424.5420000004,
61,SO - 0007493,2014-01-02,Browsetype Corp,Wholesale,Product 18,8,2351.7000000000003,18813.600000000002,1293.4350000000002,FL,Florida,South,26.12231,-80.14338,2309499.045,
62,SO - 0008686,2014-01-02,Vimbo Company,Export,Product 21,7,3189.2000000000003,22324.4,2647.036,CO,Colorado,West,40.42331,-104.70913,959899.2180000001,
63,SO - 0008746,2014-01-02,Cantrell Company,Distributor,Product 16,10,2244.5,22445.0,920.2449999999999,IN,Indiana,Midwest,41.65183,-85.94312,2062061.144,
64,SO - 0001523,2014-01-02,Accudial Company,Distributor,Product 25,5,6137.2,30686.0,4234.668,CT,Connecticut,Northeast,41.76371,-72.68509,5342315.484,
65,SO - 0002194,2014-01-02,Quaxo Ltd,Wholesale,Product 20,7,2680.0,18760.0,1098.8,FL,Florida,South,28.47689,-82.52546,2067108.1199999999,
66,SO - 0002824,2014-01-02,Zooxo Ltd,Wholesale,Product 15,8,1092.1000000000001,8736.800000000001,589.7340000000002,CA,California,West,38.60336,-121.38005,3299478.315,
67,SO - 0002859,2014-01-02,Realcube Company,Distributor,Product 8,11,1688.4,18572.4,776.6640000000001,IN,Indiana,Midwest,37.97476,-87.55585,1085037.3290000001,
68,SO - 0003113,2014-01-02,Feednation Corp,Wholesale,Product 25,8,1802.3,14418.4,1297.656,CA,California,West,37.49466,-120.84659,5342315.484,
69,SO - 0004190,2014-01-02,Mydo Corp,Wholesale,Product 13,10,3946.3,39463.0,2249.391,TX,Texas,South,29.99883,-95.1766,3720639.645,
70,SO - 0004531,2014-01-02,Neutrogena Ltd,Distributor,Product 12,6,3932.9,23597.4,2084.4370000000004,MI,Michigan,Midwest,42.33698,-83.27326,1356976.996,
71,SO - 0004734,2014-01-02,Mylan Corp,Distributor,Product 11,9,1105.5,9949.5,486.42,NY,New York,Northeast,40.72833,-73.99417,1230458.484,
72,SO - 0005505,2014-01-02,Realpoint Corp,Wholesale,Product 21,6,1802.3,10813.8,1315.6789999999999,TX,Texas,South,33.91371,-98.49339,959899.2180000001,
73,SO - 0006105,2014-01-02,Neutrogena Ltd,Export,Product 14,11,1896.1000000000001,20857.100000000002,777.401,FL,Florida,South,26.12759,-80.2331,4028698.4090000005,
74,SO - 0007660,2014-01-02,Safecor Corp,Wholesale,Product 27,5,2921.2000000000003,14606.000000000002,2103.264,MA,Massachusetts,Northeast,42.33176,-71.12116,964940.2310000001,
75,SO - 0009316,2014-01-02,Meejo Corp,Wholesale,Product 11,11,2867.6,31543.6,1319.096,CA,California,West,34.06862,-118.02757,1230458.484,
76,SO - 0009694,2014-01-02,Fivechat Company,Wholesale,Product 14,10,911.2,9112.0,637.84,MO,Missouri,Midwest,39.01695,-94.28161,4028698.4090000005,
77,SO - 0008905,2014-01-02,Pacific Ltd,Wholesale,Product 2,7,1092.1000000000001,7644.700000000001,589.7340000000002,IL,Illinois,Midwest,42.03336,-87.8834,3050087.565,
78,SO - 0010547,2014-01-02,NCS Group,Wholesale,Product 27,7,207.70000000000002,1453.9,176.54500000000002,WA,Washington,West,47.30377,-122.21,964940.2310000001,
79,SO - 0001033,2014-01-02,Vimbo Company,Wholesale,Product 25,9,2552.7000000000003,22974.300000000003,2093.214,CA,California,West,33.85363,-118.13396,5342315.484,
80,SO - 0007387,2014-01-02,Brainspher Ltd,Wholesale,Product 26,8,938.0,7504.0,731.64,TX,Texas,South,31.09823,-97.34278,5685138.2700000005,
81,SO - 0009903,2014-01-02,Voonyx Group,Wholesale,Product 11,11,3973.1,43704.1,3337.404,MN,Minnesota,Midwest,45.11997,-93.28773,1230458.484,
82,SO - 0002911,2014-01-03,Mycone Ltd,Wholesale,Product 15,6,911.2,5467.200000000001,665.176,FL,Florida,South,25.67149,-80.4445,3299478.315,
83,SO - 0003775,2014-01-03,Kazu Corp,Distributor,Product 18,12,891.1,10693.2,516.838,CA,California,West,34.14778,-118.14452,2309499.045,
84,SO - 0004386,2014-01-03,Camido Company,Distributor,Product 19,9,1045.2,9406.800000000001,418.08000000000004,IN,Indiana,Midwest,39.96548,-86.14837,1645841.6,
85,SO - 0004792,2014-01-03,Skinder Group,Wholesale,Product 1,6,167.5,1005.0,83.75,CA,California,West,33.97918,-118.03284,3016489.209,
86,SO - 0005414,2014-01-03,Eayo Company,Wholesale,Product 25,7,1835.8,12850.6,1413.566,WI,Wisconsin,Midwest,44.02471,-88.54261,5342315.484,
87,SO - 0005609,2014-01-03,Ozu Ltd,Distributor,Product 10,7,3966.4,27764.8,1903.872,CA,California,West,34.00944,-118.10528,864331.624,
88,SO - 0006308,2014-01-03,US Ltd,Wholesale,Product 28,8,214.4,1715.2,124.35199999999999,AZ,Arizona,West,33.42227,-111.82264,1003867.767,
89,SO - 0006534,2014-01-03,Snaptags Ltd,Distributor,Product 15,9,5152.3,46370.700000000004,3709.656,FL,Florida,South,25.75871,-80.39839,3299478.315,
90,SO - 0007139,2014-01-03,Quaxo Ltd,Wholesale,Product 2,6,2418.7000000000003,14512.2,1910.7730000000004,MA,Massachusetts,Northeast,42.30791,-71.4362,3050087.565,
91,SO - 0001045,2014-01-03,Lazzy Group,Export,Product 30,12,1125.6000000000001,13507.2,529.032,TX,Texas,South,31.09823,-97.34278,1011609.684,
92,SO - 0002195,2014-01-03,Mycone Ltd,Wholesale,Product 15,7,1675.0,11725.0,686.75,LA,Louisiana,South,29.95465,-90.07507,3299478.315,
93,SO - 0002314,2014-01-03,Voolia Ltd,Wholesale,Product 14,5,6304.7,31523.5,2774.0679999999998,IL,Illinois,Midwest,41.84454,-87.75929,4028698.4090000005,
94,SO - 0004070,2014-01-03,Kazu Corp,Distributor,Product 19,6,2646.5,15879.0,1243.855,SD,South Dakota,Midwest,43.53834,-96.732,1645841.6,
95,SO - 0006097,2014-01-03,Zoomdog Corp,Wholesale,Product 25,8,2010.0,16080.0,1386.8999999999999,PA,Pennsylvania,Northeast,42.12922,-80.08506,5342315.484,
96,SO - 0010022,2014-01-03,Aibox Company,Wholesale,Product 2,5,247.9,1239.5,185.925,ND,North Dakota,Midwest,46.87719,-96.7898,3050087.565,
97,SO - 0010373,2014-01-03,Dynazzy Company,Wholesale,Product 25,10,3906.1,39061.0,2695.209,NM,New Mexico,West,35.68698,-105.9378,5342315.484,
98,SO - 0009496,2014-01-03,Roberts Company,Distributor,Product 25,6,5386.8,32320.800000000003,3070.4759999999997,WI,Wisconsin,Midwest,43.01668,-88.00703,5342315.484,
99,SO - 0010605,2014-01-03,SAFEWAY Ltd,Wholesale,Product 5,5,1065.3,5326.5,543.303,FL,Florida,South,28.47689,-82.52546,3925424.5420000004,
100,SO - 000717,2014-01-03,Ozu Ltd,Wholesale,Product 22,5,2291.4,11457.0,1581.066,IN,Indiana,Midwest,37.96821,-87.49674,663601.902,
101,SO - 0002802,2014-01-03,BTA Corp,Distributor,Product 25,7,2559.4,17915.8,1612.422,IL,Illinois,Midwest,41.68366,-88.08834,5342315.484,
102,SO - 0003853,2014-01-03,Talane Group,Distributor,Product 3,9,1809.0,16281.0,1338.66,NJ,New Jersey,Northeast,40.0908,-74.36126,2642352.432,
103,SO - 0004109,2014-01-03,Browsebug Company,Wholesale,Product 13,9,1989.9,17909.100000000002,1591.92,CA,California,West,37.33939,-121.89496,3720639.645,
104,SO - 0004622,2014-01-03,Centizu Company,Wholesale,Product 3,11,2318.2000000000003,25500.200000000004,1947.2880000000002,IL,Illinois,Midwest,41.5177,-88.14885,2642352.432,
105,SO - 0004965,2014-01-03,True Ltd,Distributor,Product 4,7,3825.7000000000003,26779.9,1874.593,MA,Massachusetts,Northeast,42.33176,-71.12116,2885560.824,
106,SO - 0005431,2014-01-03,Buzzshare Company,Wholesale,Product 20,5,5514.1,27570.5,2536.4860000000003,OR,Oregon,West,45.49818,-122.43148,2067108.1199999999,
107,SO - 0007483,2014-01-03,Fivebridge Ltd,Distributor,Product 25,9,944.7,8502.300000000001,566.82,MA,Massachusetts,Northeast,42.08343,-71.01838,5342315.484,
108,SO - 0009671,2014-01-03,Natures Group,Distributor,Product 5,7,1105.5,7738.5,928.62,IL,Illinois,Midwest,41.59625,-88.08915,3925424.5420000004,
109,SO - 000187,2014-01-03,Bath Group,Wholesale,Product 13,5,891.1,4455.5,632.681,IN,Indiana,Midwest,41.66997,-86.27628,3720639.645,
110,SO - 000198,2014-01-03,Roberts Company,Export,Product 30,11,2472.3,27195.300000000003,1433.934,CO,Colorado,West,39.92054,-105.08665,1011609.684,
111,SO - 0003309,2014-01-03,Vimbo Company,Export,Product 19,7,2351.7000000000003,16461.9,1622.673,MN,Minnesota,Midwest,44.76774,-93.27772,1645841.6,
112,SO - 0003348,2014-01-03,Amerisourc Corp,Wholesale,Product 8,12,884.4,10612.8,477.576,IN,Indiana,Midwest,39.61366,-86.10665,1085037.3290000001,
113,SO - 0003548,2014-01-03,H Ltd,Export,Product 26,7,1172.5,8207.5,644.875,NJ,New Jersey,Northeast,40.66871,-74.11431,5685138.2700000005,
114,SO - 0004273,2014-01-03,Walgreen Corp,Wholesale,Product 13,8,3832.4,30659.2,3219.216,TX,Texas,South,30.63269,-97.67723,3720639.645,
115,SO - 0005395,2014-01-03,Skiptube Ltd,Distributor,Product 25,9,1011.7,9105.300000000001,536.201,IA,Iowa,Midwest,42.03471,-93.61994,5342315.484,
116,SO - 0010342,2014-01-03,Remedy Ltd,Wholesale,Product 5,9,1916.2,17245.8,1034.748,FL,Florida,South,26.0112,-80.14949,3925424.5420000004,
117,SO - 0008833,2014-01-03,Rhynoodle Ltd,Wholesale,Product 4,10,6371.7,63717.0,2803.548,FL,Florida,South,26.31841,-80.09977,2885560.824,
118,SO - 0008201,2014-01-03,Oozz Group,Distributor,Product 26,8,3356.7000000000003,26853.600000000002,1879.7520000000004,CA,California,West,33.78252,-117.22865,5685138.2700000005,
119,SO - 0008587,2014-01-03,Zoonoodle Ltd,Wholesale,Product 14,5,227.8,1139.0,186.796,KY,Kentucky,South,38.25424,-85.75941,4028698.4090000005,
120,SO - 0009558,2014-01-03,Vitz Company,Distributor,Product 22,10,1232.8,12328.0,862.9599999999999,CA,California,West,34.03363,-117.04309,663601.902,
121,SO - 0001941,2014-01-03,Browsebug Company,Distributor,Product 5,12,1038.5,12462.0,581.5600000000001,MI,Michigan,Midwest,42.32115,-85.17971,3925424.5420000004,
122,SO - 0001966,2014-01-03,Tekfly Group,Wholesale,Product 3,10,1172.5,11725.0,973.175,GA,Georgia,South,34.03945,-84.35095,2642352.432,
123,SO - 0002436,2014-01-03,Flipstorm Group,Distributor,Product 27,11,3859.2000000000003,42451.200000000004,1736.64,TX,Texas,South,32.79333,-96.76651,964940.2310000001,
124,SO - 0003555,2014-01-03,Chatterbri Ltd,Distributor,Product 6,11,1829.1000000000001,20120.100000000002,859.677,IN,Indiana,Midwest,40.19153,-85.38601,1672229.416,
125,SO - 0004288,2014-01-03,Voolia Ltd,Export,Product 3,5,221.1,1105.5,152.559,CA,California,West,34.95303,-120.43572,2642352.432,
126,SO - 0004460,2014-01-03,Vitz Company,Wholesale,Product 20,12,5688.3,68259.6,4152.459,NJ,New Jersey,Northeast,39.90461,-74.997,2067108.1199999999,
127,SO - 0004900,2014-01-03,Terumo Corp,Wholesale,Product 2,10,2405.3,24053.0,986.173,NY,New York,Northeast,42.73911,-78.85713,3050087.565,
128,SO - 0005729,2014-01-03,Vimbo Company,Wholesale,Product 13,10,3825.7000000000003,38257.0,1836.336,MI,Michigan,Midwest,42.91336,-85.70531,3720639.645,
129,SO - 0005909,2014-01-03,Eire Corp,Wholesale,Product 17,9,3859.2000000000003,34732.8,1813.824,OH,Ohio,Midwest,39.25479,-84.62414,2119616.824,
130,SO - 0008255,2014-01-03,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,CA,California,West,40.58654,-122.39168,1011609.684,
131,SO - 000105,2014-01-03,Mita Corp,Wholesale,Product 13,6,1822.4,10934.400000000001,1476.1440000000002,OK,Oklahoma,South,36.12795,-95.90232,3720639.645,
132,SO - 0003563,2014-01-03,Browsebug Company,Wholesale,Product 1,12,1165.8,13989.599999999999,827.718,CA,California,West,33.83585,-118.34063,3016489.209,
133,SO - 0004526,2014-01-03,SHISEIDO Ltd,Export,Product 5,5,3993.2000000000003,19966.0,2635.512,VA,Virginia,South,37.55376,-77.46026,3925424.5420000004,
134,SO - 0010280,2014-01-03,Roomm Company,Export,Product 18,8,1058.6000000000001,8468.800000000001,529.3000000000001,CA,California,West,33.89585,-118.22007,2309499.045,
135,SO - 0010404,2014-01-03,State Ltd,Wholesale,Product 19,12,2472.3,29667.600000000002,1236.15,CA,California,West,32.64,-117.08417,1645841.6,
136,SO - 0009276,2014-01-03,SHISEIDO Ltd,Distributor,Product 3,7,1688.4,11818.800000000001,1215.648,OH,Ohio,Midwest,40.8686,-81.36892,2642352.432,
137,SO - 000450,2014-01-04,Gigabox Group,Wholesale,Product 25,7,1078.7,7550.900000000001,906.1080000000001,IA,Iowa,Midwest,42.49276,-92.34296,5342315.484,
138,SO - 0001724,2014-01-04,Twitterbri Ltd,Wholesale,Product 25,11,1038.5,11423.5,633.485,IL,Illinois,Midwest,42.37285,-87.94653,5342315.484,
139,SO - 0002078,2014-01-04,Wordtune Company,Wholesale,Product 29,5,3999.9,19999.5,3279.9179999999997,CA,California,West,38.1302,-121.27245,594471.5700000001,
140,SO - 0002795,2014-01-04,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,CA,California,West,33.85363,-118.13396,5685138.2700000005,
141,SO - 0004247,2014-01-04,Realpoint Corp,Export,Product 24,6,3879.3,23275.800000000003,2056.029,CA,California,West,36.67774,-121.6555,756557.97,
142,SO - 0004592,2014-01-04,Viva Ltd,Wholesale,Product 12,12,5406.900000000001,64882.8,3676.6920000000005,CA,California,West,33.88168,-118.11701,1356976.996,
143,SO - 0005716,2014-01-04,Skidoo Company,Wholesale,Product 20,12,234.5,2814.0,189.94500000000002,NJ,New Jersey,Northeast,39.48623,-75.02573,2067108.1199999999,
144,SO - 0006790,2014-01-04,Aibox Company,Wholesale,Product 12,10,2532.6,25326.0,1696.842,LA,Louisiana,South,32.51599,-93.73212,1356976.996,
145,SO - 0006962,2014-01-04,Rhynoodle Ltd,Distributor,Product 4,9,2720.2000000000003,24481.800000000003,1251.2920000000001,MA,Massachusetts,Northeast,42.3876,-71.0995,2885560.824,
146,SO - 0007587,2014-01-04,Quimm Company,Export,Product 13,10,2391.9,23919.0,1363.383,CA,California,West,34.06862,-117.93895,3720639.645,
147,SO - 0008464,2014-01-04,Fivechat Company,Distributor,Product 15,5,3852.5,19262.5,1695.1,IL,Illinois,Midwest,41.68178,-88.20282,3299478.315,
148,SO - 0008999,2014-01-04,Rhynoodle Ltd,Distributor,Product 15,8,5601.2,44809.6,2632.564,NY,New York,Northeast,41.02928,-73.84285,3299478.315,
149,SO - 0001629,2014-01-04,Epic Group,Distributor,Product 13,8,2787.2000000000003,22297.600000000002,1254.2400000000002,NY,New York,Northeast,43.2134,-77.57972,3720639.645,
150,SO - 0004196,2014-01-04,Voonyx Group,Distributor,Product 1,6,1011.7,6070.200000000001,829.5939999999999,IL,Illinois,Midwest,40.47578,-88.96991,3016489.209,
151,SO - 0004344,2014-01-04,State Ltd,Distributor,Product 6,8,5447.1,43576.8,2723.55,TX,Texas,South,32.02464,-102.11347,1672229.416,
152,SO - 0004511,2014-01-04,Liberty Group,Distributor,Product 28,10,1239.5,12395.0,942.02,NY,New York,Northeast,41.02928,-73.84285,1003867.767,
153,SO - 0006153,2014-01-04,Realbuzz Ltd,Wholesale,Product 18,11,1078.7,11865.7,852.1730000000001,CA,California,West,33.70918,-117.95367,2309499.045,
154,SO - 0006716,2014-01-04,Rooxo Company,Distributor,Product 26,8,207.70000000000002,1661.6000000000001,93.465,MO,Missouri,Midwest,39.01695,-94.28161,5685138.2700000005,
155,SO - 0007510,2014-01-04,Rooxo Company,Wholesale,Product 5,9,3035.1,27315.899999999998,1335.444,NJ,New Jersey,Northeast,40.69527,-74.26908,3925424.5420000004,
156,SO - 0010159,2014-01-04,BTA Corp,Export,Product 25,9,2485.7000000000003,22371.300000000003,1043.9940000000001,AR,Arkansas,South,36.33202,-94.11854,5342315.484,
157,SO - 0010333,2014-01-04,Avamba Company,Export,Product 4,9,1005.0,9045.0,663.3000000000001,IL,Illinois,Midwest,41.85857,-88.08948,2885560.824,
158,SO - 0009096,2014-01-04,Browsetype Corp,Wholesale,Product 25,9,5594.5,50350.5,4083.985,IL,Illinois,Midwest,39.79106,-89.64457,5342315.484,
159,SO - 000725,2014-01-04,Internatio Company,Wholesale,Product 26,9,2512.5,22612.5,1658.25,CT,Connecticut,Northeast,41.76204,-72.74204,5685138.2700000005,
160,SO - 0002445,2014-01-04,Skyble Corp,Distributor,Product 13,11,1005.0,11055.0,814.0500000000001,WI,Wisconsin,Midwest,44.27795,-88.38826,3720639.645,
161,SO - 0002523,2014-01-04,Centizu Company,Export,Product 1,5,3999.9,19999.5,1639.9589999999998,OK,Oklahoma,South,34.60869,-98.39033,3016489.209,
162,SO - 0003936,2014-01-04,Voolia Ltd,Wholesale,Product 21,10,2003.3,20033.0,1282.112,NJ,New Jersey,Northeast,40.72816,-74.07764,959899.2180000001,
